Date,Rain_Sunamganj_Center,Rain_Meghalaya_Border,Mean_NDVI,Radar_VV,Daily_Water_Level,NDVI_Clean,NDVI_7Day_Avg,Flood_In_7Days,Crop_State,AgroPulse_Status,Temperature,Soil_Moisture,NDVI_Slope,Precise_Flood_Indicator,Refined_Crop_State,Final_AgroPulse_Level,Temperature_C
2016-01-01,0.0,0.0,0.276900406,-12.34963019,4.1,0.276900406,0.276900406,0.0,Post-Harvest,0.0,18.56,0.168,,0.0,Post_Harvest,0.0,
2016-01-02,0.0,0.119907085,,-12.34963019,4.1,0.276900406,0.276900406,0.0,Post-Harvest,0.0,18.56,0.168,0.0,0.0,Post_Harvest,0.0,
2016-01-03,0.0,0.001119359,,-12.34963019,4.1,0.276900406,0.276900406,0.0,Post-Harvest,0.0,18.56,0.168,0.0,0.0,Post_Harvest,0.0,
2016-01-04,0.0,0.0,,-12.34963019,4.1,0.276900406,0.276900406,0.0,Post-Harvest,0.0,18.56,0.168,0.0,0.0,Post_Harvest,0.0,
2016-01-05,0.0,0.0,,-12.34963019,4.1,0.276900406,0.276900406,0.0,Post-Harvest,0.0,18.56,0.168,0.0,0.0,Post_Harvest,0.0,
2016-01-06,0.0,0.0,0.277114937,-12.34963019,4.1,0.277114937,0.276936161,0.0,Post-Harvest,0.0,17.85,0.163,0.000214531,0.0,Post_Harvest,0.0,
2016-01-07,0.0,0.0,,-12.26483237,4.1,0.277114937,0.2769617,0.0,Post-Harvest,0.0,17.85,0.163,0.0,0.0,Post_Harvest,0.0,
2016-01-08,0.0,0.0,,-12.18003455,4.1,0.277114937,0.276992348,0.0,Post-Harvest,0.0,17.85,0.163,0.0,0.0,Post_Harvest,0.0,
2016-01-09,0.000214278,0.030656719,,-12.09523673,4.1,0.277114937,0.277022995,0.0,Post-Harvest,0.0,17.85,0.163,0.0,0.0,Post_Harvest,0.0,
2016-01-10,0.0,0.0,,-12.01043891,4.1,0.277114937,0.277053642,0.0,Post-Harvest,0.0,17.85,0.163,0.0,0.0,Post_Harvest,0.0,
2016-01-11,0.0,0.0,0.257820838,-11.92564109,4.1,0.257820838,0.27432799,0.0,Post-Harvest,0.0,17.24,0.257,-0.019294099,0.0,Post_Harvest,0.0,
2016-01-12,0.0,0.0,,-11.7900841,4.1,0.257820838,0.271602337,0.0,Post-Harvest,0.0,17.24,0.257,0.0,0.0,Post_Harvest,0.0,
2016-01-13,0.254650675,3.1251273,,-11.65452712,4.1,0.257820838,0.268846037,0.0,Post-Harvest,0.0,17.24,0.257,0.0,0.0,Post_Harvest,0.0,
2016-01-14,0.0,0.0,,-11.51897013,4.1,0.257820838,0.266089737,0.0,Post-Harvest,0.0,17.24,0.257,0.0,0.0,Post_Harvest,0.0,
2016-01-15,0.0,0.0,,-11.38341315,4.1,0.257820838,0.263333437,0.0,Post-Harvest,0.0,17.24,0.257,0.0,0.0,Post_Harvest,0.0,
2016-01-16,0.0,0.118432854,0.211372659,-11.24785616,4.1,0.211372659,0.253941683,0.0,Post-Harvest,0.0,16.9,0.214,-0.046448179,0.0,Post_Harvest,0.0,
2016-01-17,0.0,0.136443955,,-11.23273527,4.1,0.211372659,0.244549929,0.0,Post-Harvest,0.0,16.9,0.214,0.0,0.0,Post_Harvest,0.0,
2016-01-18,0.029311438,0.24614475,,-11.21761437,4.1,0.211372659,0.237914475,0.0,Post-Harvest,0.0,16.9,0.214,0.0,0.0,Post_Harvest,0.0,
2016-01-19,6.527208433,2.734752086,,-11.20249348,4.1,0.211372659,0.231279021,0.0,Post-Harvest,0.0,16.9,0.214,0.0,0.0,Post_Harvest,0.0,
2016-01-20,4.537821498,3.112313061,,-11.18737258,4.1,0.211372659,0.224643567,0.0,Post-Harvest,0.0,16.9,0.214,0.0,0.0,Post_Harvest,0.0,
2016-01-21,0.008886119,0.0,0.257481019,-11.17225169,4.1,0.257481019,0.224595021,0.0,Post-Harvest,0.0,17.03,0.291,0.04610836,0.0,Post_Harvest,0.0,
2016-01-22,0.0,0.0,,-11.1385138,4.1,0.257481019,0.224546476,0.0,Post-Harvest,0.0,17.03,0.291,0.0,0.0,Post_Harvest,0.0,
2016-01-23,0.0,0.164364553,,-11.1047759,4.1,0.257481019,0.231133384,0.0,Post-Harvest,0.0,17.03,0.291,0.0,0.0,Post_Harvest,0.0,
2016-01-24,0.0,0.116261549,,-11.07103801,4.1,0.257481019,0.237720293,0.0,Post-Harvest,0.0,17.03,0.291,0.0,0.0,Post_Harvest,0.0,
2016-01-25,0.0,0.0,,-11.03730012,4.1,0.257481019,0.244307202,0.0,Post-Harvest,0.0,17.03,0.291,0.0,0.0,Post_Harvest,0.0,
2016-01-26,0.000911298,0.235227518,0.257371289,-11.00356223,4.1,0.257371289,0.250878435,0.0,Post-Harvest,0.0,15.31,0.228,-0.00010973,0.0,Post_Harvest,0.0,
